gamma,k,fingerprint_length,n_recipients,sk,id,embedding_ratio,recipient_id,attribute,rel_delta_mean,rel_delta_std,hellinger_distance,kl_divergence,emd,ks,p_value
2,300,64,20,100,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,100,0,0.5,0,Elevation,0.00028392077878469256,0.0022725013535687018,0.0037944455231040553,5.737649932864587e-05,1.1186000000000007,0.0025000000000000577,0.9999823788265191
2,300,64,20,100,0,0.5,0,Aspect,0.0001403703703703722,2.601099464347825e-05,0.0009734096119769311,3.792292204298181e-06,0.0904,0.0006666666666666488,1.0
2,300,64,20,100,0,0.5,0,Slope,2.3497267759585733e-05,0.0017439683499992555,0.003872869581072726,6.000881127518895e-05,0.02410000000000032,0.0020333333333333314,0.9999999715897882
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0014705137751302986,0.004063498457268858,0.0055270004885866475,0.00012192473697484925,2.017966666666667,0.00656666666666661,0.5350491366494899
2,300,64,20,100,0,0.5,0,Vertical_Distance_To_Hydrology,0.0011435714285714278,0.018546526446574722,0.011619951335119562,0.0005351903085385841,1.0123666666666682,0.009000000000000008,0.17490178139178036
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Roadways,0.0004634583860240801,0.003619972442791416,0.0029295694555468454,3.433623991679755e-05,6.2489000000000035,0.0025000000000000577,0.9999823788265191
2,300,64,20,100,0,0.5,0,Hillshade_9am,0.00013989501312341586,0.002740940419412896,0.0023532623630418146,2.269745499965702e-05,0.045666666666666425,0.0008333333333333526,1.0
2,300,64,20,100,0,0.5,0,Hillshade_Noon,0.00016602150537635445,0.002681688933711342,0.0021145211087474857,1.796016122460656e-05,0.039066666666667,0.0010666666666666602,1.0
2,300,64,20,100,0,0.5,0,Hillshade_3pm,3.7768817204294226e-05,0.0011839220654692505,0.0020611546465751584,1.7051359983523262e-05,0.04829999999999958,0.0012999999999999678,1.0
2,300,64,20,100,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002274325015102942,0.0008333457700702902,0.003633797523264301,5.27984896930261e-05,16.77026666666667,0.004366666666666741,0.9360327634509268
2,300,64,20,100,0,0.5,0,Cover_Type,0.004227777777777793,0.0007178515945533622,0.010267055960050724,0.00042012038422377954,0.028899999999999926,0.011366666666666636,0.04115018947623861
2,300,64,20,101,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,101,0,0.5,0,Elevation,0.0003011581067470815,0.0020624101314793775,0.0032926464001917567,4.3117862889026305e-05,0.9289666666666642,0.0023999999999999577,0.9999939190868573
2,300,64,20,101,0,0.5,0,Aspect,0.0003362962962963283,0.0006079541027490799,0.0009225381240524394,3.4066415958907017e-06,0.134066666666667,0.0010999999999999899,1.0
2,300,64,20,101,0,0.5,0,Slope,0.00019398907103825548,0.0028599273986323385,0.003541984660753835,4.992076511448907e-05,0.024766666666667065,0.00216666666666665,0.9999997241338531
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0017359642591213717,0.006043404489534508,0.005940299509506091,0.00014035894802562205,2.3584000000000005,0.006700000000000039,0.5088996882354222
2,300,64,20,101,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007034285714285764,0.011150304514224644,0.011026116960011897,0.0004804684508556829,0.7544666666666676,0.007033333333333336,0.4461416944222756
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Roadways,0.0005158259566296576,0.0028817793391483076,0.002096752236222389,1.7599972368930673e-05,5.948333333333335,0.0017000000000000348,0.9999999999924895
2,300,64,20,101,0,0.5,0,Hillshade_9am,9.514435695540594e-05,0.0016325906831298077,0.0018967453087953303,1.445547415527808e-05,0.034633333333332926,0.0008333333333333387,1.0
2,300,64,20,101,0,0.5,0,Hillshade_Noon,0.00011526881720427693,0.0014148794870797814,0.0016128119910974526,1.0426792091271017e-05,0.03160000000000013,0.0011333333333333195,1.0
2,300,64,20,101,0,0.5,0,Hillshade_3pm,3.696236559136423e-05,0.0008356609061312766,0.002107708138834028,1.7803508108675125e-05,0.05303333333333339,0.0011999999999999789,1.0
2,300,64,20,101,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.002257298201589308,0.0009377432780309031,0.004109370096814892,6.750576407396366e-05,16.608266666666665,0.004833333333333356,0.8730103808279996
2,300,64,20,101,0,0.5,0,Cover_Type,0.004444444444444473,0.0010768472967331991,0.010580979045452304,0.00044612652842363854,0.029266666666666774,0.011833333333333362,0.029728559447209535
2,300,64,20,102,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,102,0,0.5,0,Elevation,0.0005852970795567506,0.0032283852605675687,0.003722459418556416,5.5384183439063985e-05,1.432266666666667,0.003933333333333344,0.9737460203154992
2,300,64,20,102,0,0.5,0,Aspect,0.00025407407407406087,9.59375699846858e-05,0.001334129261035409,7.1204277699284285e-06,0.11626666666666582,0.0009333333333333138,1.0
2,300,64,20,102,0,0.5,0,Slope,6.721311475411644e-05,0.0020223895120599633,0.0034071018706603724,4.6188225580122e-05,0.01969999999999995,0.002066666666666668,0.9999999476975149
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0016551005212211516,0.0024382880828263584,0.0057272709730868425,0.00013087743937426597,2.2445333333333366,0.007233333333333314,0.4105640354033594
2,300,64,20,102,0,0.5,0,Vertical_Distance_To_Hydrology,0.0005939523809523857,0.010417632525285195,0.01118555552879361,0.0004938565379292921,0.7182333333333333,0.007133333333333325,0.4281442611748517
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Roadways,0.00022894009648258477,0.002050155573047862,0.0022279770389046455,1.9850247850067714e-05,4.449833333333336,0.0014666666666666162,0.9999999999999994
2,300,64,20,102,0,0.5,0,Hillshade_9am,0.00012020997375324312,0.0016421341303240766,0.002629692346484481,2.724081549333525e-05,0.04433333333333288,0.0007333333333333636,1.0
2,300,64,20,102,0,0.5,0,Hillshade_Noon,0.0002219354838710006,0.003196875330653136,0.0023505275906011264,2.222531244671581e-05,0.045533333333333384,0.0011333333333333195,1.0
2,300,64,20,102,0,0.5,0,Hillshade_3pm,4.690860215060499e-05,0.001591832785805104,0.0016321215954041254,1.0666497578630685e-05,0.05543333333333326,0.0010666666666666602,1.0
2,300,64,20,102,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0019188603829708127,9.572667496193458e-05,0.0039394426098923584,6.196760527026663e-05,14.71286666666667,0.00446666666666673,0.9244090299438615
2,300,64,20,102,0,0.5,0,Cover_Type,0.004783333333333362,0.000547276175621697,0.01130225425762346,0.0005089078109270432,0.03316666666666662,0.012199999999999989,0.022816575340663812
2,300,64,20,103,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,103,0,0.5,0,Elevation,0.0006414065122523599,0.0021147724971751903,0.0044158918431775615,7.803148876099903e-05,1.7092999999999998,0.0040999999999999925,0.9616640472856633
2,300,64,20,103,0,0.5,0,Aspect,0.00022083333333332197,7.740161682170058e-05,0.001375622008033451,7.565311475621255e-06,0.11103333333333305,0.0008999999999999841,1.0
2,300,64,20,103,0,0.5,0,Slope,0.0001300546448087507,0.0012548219530858764,0.003770571005096319,5.842735379271694e-05,0.025266666666666843,0.0018000000000000238,0.9999999998549512
2,300,64,20,103,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0018417969719533402,0.004608870295234153,0.006266117019025642,0.0001567501301179412,2.492666666666668,0.008166666666666655,0.2683226031690088
2,300,64,20,103,0,0.5,0,Vertical_Distance_To_Hydrology,0.0007178571428571397,0.011920140490423763,0.01043165643325756,0.0004315087199336907,0.7554333333333346,0.006566666666666721,0.5350491366494681
2,300,64,20,103,0,0.5,0,Horizontal_Distance_To_Roadways,0.000687298018828183,0.0035989042215517656,0.002885052739875182,3.329174531948784e-05,7.298966666666669,0.002266666666666639,0.999998830138968
2,300,64,20,103,0,0.5,0,Hillshade_9am,0.00012440944881888743,0.0028474249470862517,0.002368246167783033,2.2701614111901514e-05,0.04713333333333279,0.0007333333333333636,1.0
2,300,64,20,103,0,0.5,0,Hillshade_Noon,0.00028473118279579937,0.0038249651075511417,0.0026611359566608745,2.8462833619999588e-05,0.05620000000000029,0.0012000000000000066,1.0
2,300,64,20,103,0,0.5,0,Hillshade_3pm,9.677419354839077e-05,0.0012796999531082861,0.0018722624916182613,1.4041845116859421e-05,0.0565333333333333,0.0012999999999999956,1.0
2,300,64,20,103,0,0.5,0,Horizontal_Distance_To_Fire_Points,0.0023632789627771192,0.0004475214269033524,0.003905420332042859,6.1000654288737914e-05,17.264333333333333,0.004666666666666708,0.8980050017105067
2,300,64,20,103,0,0.5,0,Cover_Type,0.0049277777777777905,0.0002686237446823819,0.010896891486462187,0.0004731931644702728,0.03263333333333335,0.012399999999999967,0.019682819904883447
2,300,64,20,104,0,0.5,0,Id,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,300,64,20,104,0,0.5,0,Elevation,0.0006055723397112655,0.003834240701644251,0.004180602645397874,6.967003020861876e-05,1.728266666666667,0.003666666666666707,0.9872774354872266
2,300,64,20,104,0,0.5,0,Aspect,7.648148148149403e-05,0.0003113653034080102,0.0008289543541317847,2.749971485870929e-06,0.07613333333333273,0.0010000000000000009,1.0
2,300,64,20,104,0,0.5,0,Slope,0.00027759562841528455,0.0017796521440507172,0.003991021552085777,6.36951325072263e-05,0.03420000000000041,0.002566666666666717,0.9999665868615683
2,300,64,20,104,0,0.5,0,Horizontal_Distance_To_Hydrology,0.0012668652271035047,0.002382710022571672,0.004676631387595019,8.735403572311542e-05,1.7316666666666645,0.005933333333333346,0.6641952962620363
